position,docid,date,court,title
1,1243245,2008-09-18,Supreme Court of India,"National Insurance Co. Ltd vs M/S. Boghara Polyfab Pvt.Ltd on 18 September, 2008"
2,166421160,2012-01-24,Supreme Court of India,"Mp Rural Road Dev. Authority And Anr vs M/S. L.G. Chaudhary Engineers And Cont on 24 January, 2012"
3,513869,1989-02-06,Supreme Court of India,"I.T.C. Limited vs George Joseph Fernandes & Anr on 6 February, 1989"
4,1593938,1963-03-27,Supreme Court of India,"Union Of India vs Birla Cotton Spinning & Weaving Mills ... on 27 March, 1963"
5,106123499,2018-05-03,Madhya Pradesh High Court,"Shri Gouri Ganesh Shri Balaji ... vs Executive Engineer on 3 May, 2018"
6,374740,2005-09-13,Madhya Pradesh High Court,"State Of M.P. And Anr. vs Kamal Kishore Sharma on 13 September, 2005"
7,1125754,1991-06-26,Gujarat High Court,"Gujarat Mazdoor Panchayat vs State Of Gujarat And Ors. on 26 June, 1991"
8,449410,1953-03-05,Calcutta High Court,"Birla Jute Manufacturing Co. Ltd. vs Dulichand Pratapmull on 5 March, 1953"
9,94963,1955-09-16,Bombay High Court,"Shiv Omkar Maheshwari vs Bansidhar Jagannath on 16 September, 1955"
10,253807,1950-08-22,Bombay High Court,"Gordhandas Pursottam Sonawala vs Natvarlal Chandulal & Co. on 22 August, 1950"
11,196570361,2020-02-19,Calcutta High Court (Appellete Side),"The Indian Golf Union & Ors vs West Bengal Golf Society & Ors on 19 February, 2020"
12,57334469,2019-05-13,Patna High Court,"Kamladitya Constructions Pvt. Ltd. ... vs The State Of Bihar And Ors on 13 May, 2019"
13,184270853,2019-05-13,Patna High Court,"Kamladitya Construction Pvt. Ltd vs The State Of Bihar And Ors on 13 May, 2019"
14,91003470,2022-03-11,Kerala High Court,"Kaikkara Construction Company vs State Of Kerala And Others on 11 March, 2022"
15,74583784,2019-08-30,Gujarat High Court,"M S Khurana Engineering Limited vs Gandhinagar Urban Development ... on 30 August, 2019"
16,140833388,2025-05-15,Supreme Court of India,"M/S. Gayatri Project Limited vs Madhya Pradesh Road Development ... on 15 May, 2025"
17,152078436,2023-08-04,Gujarat High Court,"Dholera Industrial City Development ... vs M/S Spml Infra Ltd on 4 August, 2023"
18,51784,2011-04-26,Gujarat High Court,"Chemical vs Secretary on 26 April, 2011"
19,1982723,1986-03-18,Rajasthan High Court - Jaipur,"R.S.E.B., Vidyut Bhawan vs The Indian Aluminium Cables Ltd., New ... on 18 March, 1986"
20,184094345,1800-01-01,Gujarat High Court,Gopal vs Union
21,86916469,2017-04-21,Andhra HC (Pre-Telangana),"Visakhapatnam <b>Contract</b> Labour ... vs Steel Authority Of India Limited, Rep. ... on 21 April, 2017"
22,516645,1800-01-01,Bombay High Court,"Shiv Omkar Maheshwari vs Bansidhar Jagannath on 1 January, 1800"
23,1923375,1800-01-01,Bombay High Court,"Shiv Omkar Maheshwari vs Bansidhar Jagannath on 1 January, 1800"
24,89190833,2019-08-02,Gujarat High Court,"M S Khurana Engineering Limited vs Gandhinagar Urban Development ... on 2 August, 2019"
